Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_D,18.44,22.98,67.62,67700,82%,10.19,17.73,13.45,92%,86%,97%,73%,83%,82%,73%,64%,62%,68%,88%,71%,95%,93%,65%,86%,73%,93%,83%,63%,62%,66%,81%
Field_E,25.54,23.68,58.26,81364,75%,48.31,14.27,27.46,94%,86%,90%,62%,97%,75%,91%,63%,72%,77%,66%,96%,80%,62%,97%,81%,81%,94%,71%,70%,95%,77%,90%
Field_B,31.47,32.85,68.1,77740,98%,26.98,12.56,11.5,84%,66%,84%,81%,64%,62%,82%,67%,75%,67%,64%,77%,93%,80%,76%,93%,71%,70%,85%,67%,60%,74%,92%
Field_B,10.87,30.77,43.15,44995,67%,11.7,14.04,11.89,100%,96%,60%,69%,77%,92%,74%,100%,91%,92%,83%,94%,81%,75%,90%,94%,94%,86%,65%,68%,81%,99%,69%
Field_C,22.51,24.48,56.92,72674,98%,18.98,24.53,27.11,64%,91%,80%,62%,93%,92%,61%,87%,96%,63%,69%,60%,64%,91%,77%,99%,81%,93%,78%,85%,68%,68%,78%
Field_B,38.77,33.19,67.39,63790,88%,27.26,17.59,32.99,90%,64%,76%,69%,73%,68%,87%,92%,76%,63%,75%,83%,74%,76%,61%,83%,99%,100%,63%,81%,67%,82%,97%
Field_B,37.23,34.2,60.01,71030,92%,22.46,7.0,36.4,100%,85%,81%,65%,81%,70%,68%,82%,89%,65%,65%,77%,73%,69%,75%,82%,60%,69%,65%,83%,79%,78%,93%
Field_C,10.23,28.15,68.42,44406,60%,48.79,22.87,24.03,74%,86%,74%,88%,98%,71%,83%,66%,88%,78%,80%,61%,85%,86%,86%,85%,64%,82%,68%,68%,90%,68%,60%
Field_D,11.88,32.55,68.08,47041,63%,41.29,23.17,27.82,96%,66%,75%,63%,67%,84%,98%,99%,66%,67%,90%,95%,80%,78%,71%,73%,77%,88%,77%,87%,100%,99%,66%
Field_B,33.2,27.05,66.92,58240,97%,13.69,10.25,24.6,74%,95%,80%,60%,97%,89%,89%,68%,91%,65%,78%,69%,73%,75%,93%,94%,76%,92%,70%,83%,98%,68%,95%
